DIA; CONSUMO MED POZO 1   [m3]; CONSUMO MED POZO 2   [m3];TOTAL POZO EMAAPQ;CONSUMO POZO  [m3]; POZO [l/min]; CONSUMO MEDIDOR 1   [m3]; CONSUMO MEDIDOR 2   [m3];TOTAL ingreso EMMAPQ;CONSUMO TOTAL [M3];MES;AÑO
1;0;0;0;0;0;0;0;0;0;1;2026
2;0;0;0;0;0;0;0;0;0;1;2026
3;0;0;0;0;0;0;0;0;0;1;2026
4;0;0;0;0;0;0;0;0;0;1;2026
5;0;0;0;0;0;0;1;1;1;1;2026
6;0;33;33;41;28;1;1;2;43;1;2026
7;0;34;34;39;27;0;0;0;39;1;2026
8;0;0;0;0;0;0;2;2;2;1;2026
9;1;41;42;47;33;0;3;3;50;1;2026
10;0;0;0;0;0;0;1;1;1;1;2026
11;0;0;0;0;0;0;0;0;0;1;2026
12;0;0;0;0;0;0;0;0;0;1;2026
13;0;42;42;47;33;0;2;2;49;1;2026
14;0;0;0;0;0;0;2;2;2;1;2026
15;0;0;0;0;0;0;1;1;1;1;2026
16;0;0;0;0;0;1;3;4;4;1;2026
17;0;0;0;0;0;0;2;2;2;1;2026
18;0;0;0;0;0;0;0;0;0;1;2026
19;0;38;38;45;31;0;2;2;47;1;2026
20;0;0;0;0;0;0;2;2;2;1;2026
21;0;0;0;0;0;0;3;3;3;1;2026
22;1;48;49;56;39;0;2;2;58;1;2026
23;0;0;0;0;0;0;2;2;2;1;2026
24;0;0;0;0;0;0;3;3;3;1;2026
25;0;0;0;0;0;0;0;0;0;1;2026
26;0;0;0;0;0;0;1;1;1;1;2026
27;0;0;0;0;0;1;1;2;2;1;2026
28;0;44;44;51;35;0;1;1;52;1;2026
29;0;0;0;0;0;0;3;3;3;1;2026
30;0;0;0;0;0;0;0;0;0;1;2026
31;0;0;0;0;0;0;0;0;0;1;2026
1;0;0;0;0;0;0;1;1;1;2;2026
2;0;0;0;0;0;0;0;0;0;2;2026
3;0;0;0;0;0;1;1;2;2;2;2026
4;0;0;0;0;0;1;2;3;3;2;2026
5;0;37;37;42;29;1;2;3;45;2;2026
6;0;0;0;0;0;1;2;3;3;2;2026
7;0;0;0;0;0;0;1;1;1;2;2026
8;0;0;0;0;0;1;1;2;2;2;2026
9;0;0;0;0;0;0;1;1;1;2;2026
10;0;0;0;0;0;1;1;2;2;2;2026
11;0;0;0;0;0;1;1;2;2;2;2026
12;0;47;47;52;36;1;3;4;56;2;2026
