DIA;MES;AÑO;CONSUMO COMBUSTIBLE;HORAS TRABAJO;FECHA;SEMANA
1;1;2026;0,0;0,0;2026-01-01;1
2;1;2026;0,0;0,0;2026-01-02;1
3;1;2026;6,35;0,6999999999998181;2026-01-03;1
4;1;2026;0,0;0,0;2026-01-04;1
5;1;2026;19,049999999999997;2,199999999999818;2026-01-05;2
6;1;2026;19,049999999999997;3,199999999999818;2026-01-06;2
7;1;2026;19,049999999999997;3,2000000000007276;2026-01-07;2
8;1;2026;19,049999999999997;1,8999999999996362;2026-01-08;2
9;1;2026;31,75;3,699999999999818;2026-01-09;2
10;1;2026;19,049999999999997;1,300000000000182;2026-01-10;2
11;1;2026;0,0;0,0;2026-01-11;2
12;1;2026;19,049999999999997;1,6000000000003638;2026-01-12;3
13;1;2026;19,049999999999997;1,5999999999994543;2026-01-13;3
14;1;2026;25,4;2,9000000000005457;2026-01-14;3
15;1;2026;31,75;3,7999999999992724;2026-01-15;3
16;1;2026;38,099999999999994;4,5;2026-01-16;3
17;1;2026;25,4;3,100000000000364;2026-01-17;3
18;1;2026;0,0;0,0;2026-01-18;3
19;1;2026;19,049999999999997;2,300000000000182;2026-01-19;4
20;1;2026;38,099999999999994;4,899999999999636;2026-01-20;4
21;1;2026;25,4;2,4000000000005457;2026-01-21;4
22;1;2026;38,099999999999994;3,7999999999992724;2026-01-22;4
23;1;2026;25,4;2,600000000000364;2026-01-23;4
24;1;2026;19,049999999999997;1,6000000000003638;2026-01-24;4
25;1;2026;0,0;0,0;2026-01-25;4
26;1;2026;19,049999999999997;1,8999999999996362;2026-01-26;5
27;1;2026;38,099999999999994;4,800000000000182;2026-01-27;5
28;1;2026;25,4;3,0;2026-01-28;5
29;1;2026;31,75;3,800000000000182;2026-01-29;5
30;1;2026;31,75;4,099999999999454;2026-01-30;5
31;1;2026;25,4;2,600000000000364;2026-01-31;5
1;2;2026;0,0;0,0;2026-02-01;5
2;2;2026;19,049999999999997;1,800000000000182;2026-02-02;6
3;2;2026;31,75;4,299999999999272;2026-02-03;6
4;2;2026;25,4;2,7000000000007276;2026-02-04;6
5;2;2026;38,099999999999994;4,799999999999272;2026-02-05;6
6;2;2026;31,75;3,800000000000182;2026-02-06;6
7;2;2026;31,75;3,699999999999818;2026-02-07;6
8;2;2026;0,0;0,0;2026-02-08;6
9;2;2026;19,049999999999997;2,2000000000007276;2026-02-09;7
10;2;2026;31,75;3,899999999999636;2026-02-10;7
11;2;2026;31,75;4,100000000000364;2026-02-11;7
12;2;2026;38,099999999999994;4,599999999999454;2026-02-12;7
13;2;2026;31,75;4,0;2026-02-13;7
14;2;2026;19,049999999999997;1,800000000000182;2026-02-14;7
15;2;2026;0,0;0,0;2026-02-15;7
16;2;2026;0,0;0,0;2026-02-16;8
17;2;2026;0,0;0,0;2026-02-17;8
18;2;2026;19,049999999999997;1,5;2026-02-18;8
19;2;2026;25,4;3,199999999999818;2026-02-19;8
20;2;2026;38,099999999999994;4,699999999999818;2026-02-20;8
21;2;2026;19,049999999999997;1,300000000000182;2026-02-21;8
22;2;2026;0,0;0,0;2026-02-22;8
23;2;2026;19,049999999999997;1,5;2026-02-23;9
24;2;2026;44,449999999999996;6,199999999999818;2026-02-24;9
25;2;2026;31,75;3,800000000000182;2026-02-25;9
26;2;2026;38,099999999999994;4,800000000000182;2026-02-26;9
27;2;2026;19,049999999999997;3,199999999999818;2026-02-27;9
28;2;2026;25,4;2,9000000000005457;2026-02-28;9
